Datetime,Open,High,Low,Close,Adj Close,Volume,VWAP
2022-08-18 09:30:00-04:00,148.7899932861328,148.7899932861328,148.7899932861328,148.7899932861328,148.7899932861328,157644,148.7899932861328
2022-08-18 09:31:00-04:00,148.91000366210938,149.1053009033203,148.8800048828125,148.9499969482422,148.9499969482422,13444,148.8048008719846
2022-08-18 09:32:00-04:00,148.9499969482422,149.00999450683594,148.86000061035156,148.92999267578125,148.92999267578125,9233,148.81138192824793
2022-08-18 09:33:00-04:00,149.01649475097656,149.22999572753906,148.86000061035156,149.19000244140625,149.19000244140625,30949,149.03697944699633
2022-08-18 09:34:00-04:00,149.1999969482422,149.22999572753906,149.1300048828125,149.1699981689453,149.1699981689453,6795,149.07393909940512
2022-08-18 09:35:00-04:00,149.13999938964844,149.24000549316406,149.0500030517578,149.0749969482422,149.0749969482422,12381,149.11162864130768
2022-08-18 09:36:00-04:00,149.05999755859375,149.19500732421875,148.9600067138672,148.97000122070312,148.97000122070312,8213,149.11132480237347
2022-08-18 09:37:00-04:00,149.02000427246094,149.02000427246094,148.75,148.80999755859375,148.80999755859375,8644,149.02183709737255
2022-08-18 09:38:00-04:00,148.80999755859375,148.8300018310547,148.69000244140625,148.69000244140625,148.69000244140625,8098,148.87976919143748
2022-08-18 09:39:00-04:00,148.69000244140625,148.72999572753906,148.60000610351562,148.63259887695312,148.63259887695312,11004,148.74238482889365
2022-08-18 09:40:00-04:00,148.64999389648438,148.82000732421875,148.63999938964844,148.6999969482422,148.6999969482422,10746,148.70026458403512
2022-08-18 09:41:00-04:00,148.61000061035156,148.67999267578125,148.61000061035156,148.63999938964844,148.63999938964844,5988,148.67734580342878
2022-08-18 09:42:00-04:00,148.6300048828125,148.80499267578125,148.6199951171875,148.74000549316406,148.74000549316406,14582,148.70611537865622
2022-08-18 09:43:00-04:00,148.72999572753906,148.74000549316406,148.5800018310547,148.63499450683594,148.63499450683594,12801,148.68075781047713
2022-08-18 09:44:00-04:00,148.64999389648438,148.7550048828125,148.61000061035156,148.75,148.75,7479,148.69238747653696
2022-08-18 09:45:00-04:00,148.77000427246094,148.77999877929688,148.6199951171875,148.64999389648438,148.64999389648438,9670,148.67520853067012
2022-08-18 09:46:00-04:00,148.69000244140625,148.72999572753906,148.64999389648438,148.67999267578125,148.67999267578125,10439,148.6904652175951
2022-08-18 09:47:00-04:00,148.7100067138672,148.7100067138672,148.64999389648438,148.69000244140625,148.69000244140625,8001,148.6845679070649
2022-08-18 09:48:00-04:00,148.7100067138672,148.77000427246094,148.69000244140625,148.77000427246094,148.77000427246094,6738,148.70077109209967
2022-08-18 09:49:00-04:00,148.75,148.75999450683594,148.64999389648438,148.72000122070312,148.72000122070312,8886,148.71047585526725
2022-08-18 09:50:00-04:00,148.72999572753906,148.75999450683594,148.6999969482422,148.74000549316406,148.74000549316406,8104,148.727434214058
2022-08-18 09:51:00-04:00,148.77000427246094,148.80999755859375,148.74009704589844,148.7899932861328,148.7899932861328,4755,148.7340075264436
2022-08-18 09:52:00-04:00,148.77999877929688,148.77999877929688,148.58999633789062,148.58999633789062,148.58999633789062,9536,148.70918168793781
2022-08-18 09:53:00-04:00,148.61000061035156,148.6239013671875,148.5399932861328,148.6092071533203,148.6092071533203,7554,148.65936686477318
2022-08-18 09:54:00-04:00,148.6132049560547,148.66000366210938,148.60000610351562,148.6300048828125,148.6300048828125,4675,148.62669895159556
2022-08-18 09:55:00-04:00,148.6699981689453,148.77999877929688,148.6699981689453,148.75999450683594,148.75999450683594,6762,148.6524808549321
2022-08-18 09:56:00-04:00,148.78309631347656,148.831298828125,148.78309631347656,148.831298828125,148.831298828125,8845,148.74634230455436
2022-08-18 09:57:00-04:00,148.82789611816406,148.8699951171875,148.80999755859375,148.86000061035156,148.86000061035156,5326,148.79784916357607
2022-08-18 09:58:00-04:00,148.85000610351562,148.8800048828125,148.80999755859375,148.8800048828125,148.8800048828125,2020,148.83074099189048
2022-08-18 09:59:00-04:00,148.89999389648438,148.91000366210938,148.8800048828125,148.91000366210938,148.91000366210938,5410,148.87087083403637
